Genere,Originale_Hz,DSP_Hz,Demucs+DSP_Hz,Miglioramento_DSP,Miglioramento_Demucs
pop,15833.333333333334,15963.541666666666,20851.318359375,130.20833333333212,5017.985026041666
rock,15588.541666666666,15744.791666666666,18418.06640625,156.25,2829.524739583334
lofi,15140.625,15984.375,21203.02734375,843.75,6062.40234375
electronic,13911.458333333334,15562.5,16422.65625,1651.041666666666,2511.197916666666
hip-hop,15427.083333333334,15984.375,21145.60546875,557.2916666666661,5718.522135416666
