Genere,Originale_LUFS,DSP_LUFS,Demucs+DSP_LUFS,Miglioramento_DSP,Miglioramento_Demucs
pop,-18.13205169403312,-19.081459843916345,-14.06276091424546,-0.9494081498832259,4.069290779787659
rock,-14.103156163950857,-15.590436140877918,-14.000364139098144,-1.487279976927061,0.10279202485271277
lofi,-17.87672197286856,-20.533150425642887,-14.362101713211894,-2.6564284527743283,3.514620259656665
electronic,-17.32280059637449,-18.36800109536812,-14.010430447217056,-1.0452004989936299,3.3123701491574327
hip-hop,-15.87748179741348,-18.218253153715825,-14.151199271383078,-2.3407713563023442,1.7262825260304027
