Metrica,Originale,DSP,Demucs+DSP,Miglioramento_DSP,Miglioramento_Demucs
Loudness (LUFS),-16.6624424449281,-18.358260131904213,-14.117371297031125,-1.6958176869761132,2.5450711478969748
Frequenza Max (Hz),15180.208333333334,15847.916666666666,19608.134765625,667.7083333333321,4427.926432291666
SNR (dB),8.773751037071149,6.8751137812932335,-3.6740726947784426,-1.8986372557779152,-12.447823731849592
Sample Rate (Hz),32000.0,32000.0,44100.0,0.0,12100.0
